NCBIassemblyID	RAWassemblyID
WJXA01000476.1	ctg535
WJXA01000477.1	ctg536
WJXA01000478.1	ctg537
WJXA01000479.1	ctg538
WJXA01000480.1	ctg539
WJXA01000049.1	ctg54
WJXA01000481.1	ctg540
WJXA01000482.1	ctg541
WJXA01000483.1	ctg542
WJXA01000484.1	ctg543
WJXA01000485.1	ctg544
WJXA01000486.1	ctg545
WJXA01000487.1	ctg546
WJXA01000488.1	ctg547
WJXA01000489.1	ctg548
WJXA01000490.1	ctg549
WJXA01000050.1	ctg55
WJXA01000491.1	ctg551
WJXA01000492.1	ctg552
WJXA01000493.1	ctg553
WJXA01000494.1	ctg554
WJXA01000495.1	ctg555
WJXA01000496.1	ctg556
WJXA01000497.1	ctg557
WJXA01000498.1	ctg558
WJXA01000499.1	ctg559
WJXA01000051.1	ctg56
WJXA01000500.1	ctg560
WJXA01000501.1	ctg561
WJXA01000502.1	ctg562
WJXA01000503.1	ctg563
WJXA01000504.1	ctg564
WJXA01000505.1	ctg565
WJXA01000506.1	ctg566
WJXA01000507.1	ctg567
WJXA01000508.1	ctg569
WJXA01000052.1	ctg57
WJXA01000509.1	ctg570
WJXA01000510.1	ctg571
WJXA01000511.1	ctg573
WJXA01000512.1	ctg575
WJXA01000513.1	ctg576
WJXA01000514.1	ctg577
WJXA01000515.1	ctg578
WJXA01000516.1	ctg579
WJXA01000053.1	ctg58
WJXA01000517.1	ctg580
WJXA01000518.1	ctg581
WJXA01000519.1	ctg582
WJXA01000520.1	ctg583
WJXA01000521.1	ctg584
WJXA01000522.1	ctg585
WJXA01000523.1	ctg586
WJXA01000524.1	ctg587
WJXA01000525.1	ctg588
WJXA01000526.1	ctg589
WJXA01000054.1	ctg59
WJXA01000527.1	ctg590
WJXA01000528.1	ctg591
WJXA01000529.1	ctg592
WJXA01000530.1	ctg593
WJXA01000531.1	ctg594
WJXA01000532.1	ctg595
WJXA01000533.1	ctg596
WJXA01000534.1	ctg597
WJXA01000535.1	ctg599
WJXA01000055.1	ctg60
WJXA01000536.1	ctg600
WJXA01000537.1	ctg601
WJXA01000538.1	ctg602
WJXA01000539.1	ctg603
WJXA01000540.1	ctg604
WJXA01000541.1	ctg606
WJXA01000542.1	ctg607
WJXA01000543.1	ctg608
WJXA01000544.1	ctg609
WJXA01000056.1	ctg61
WJXA01000545.1	ctg610
WJXA01000546.1	ctg611
WJXA01000547.1	ctg613
WJXA01000548.1	ctg614
WJXA01000549.1	ctg615
WJXA01000550.1	ctg616
WJXA01000551.1	ctg617
WJXA01000552.1	ctg618
WJXA01000057.1	ctg62
WJXA01000058.1	ctg64
WJXA01000059.1	ctg65
WJXA01000060.1	ctg66
WJXA01000061.1	ctg67
WJXA01000062.1	ctg68
WJXA01000063.1	ctg69
WJXA01000064.1	ctg70
WJXA01000065.1	ctg71
WJXA01000066.1	ctg73
WJXA01000067.1	ctg74
WJXA01000068.1	ctg75
WJXA01000069.1	ctg76
WJXA01000070.1	ctg77
WJXA01000071.1	ctg78
WJXA01000072.1	ctg80
WJXA01000073.1	ctg81
WJXA01000074.1	ctg82
WJXA01000075.1	ctg83
WJXA01000076.1	ctg84
WJXA01000077.1	ctg85
WJXA01000078.1	ctg86
WJXA01000079.1	ctg87
WJXA01000080.1	ctg88
WJXA01000081.1	ctg89
WJXA01000082.1	ctg90
WJXA01000083.1	ctg91
WJXA01000084.1	ctg92
WJXA01000085.1	ctg93
WJXA01000086.1	ctg94
WJXA01000087.1	ctg95
WJXA01000088.1	ctg96
WJXA01000089.1	ctg97
WJXA01000090.1	ctg98
CM024966.1	Mt
CM024967.1	Pt
